"w1","w2","prediction","rank"
"did","and","even",3
"did","and","i",9
"did","and","it",8
"did","and","that",5
"did","as","a",6
"did","at","the",8
"did","back","in",3
"did","better","than",6
"did","but","i",7
"did","find","a",5
"did","for","me",5
"did","get","that",3
"did","get","to",4
"did","go","to",5
"did","have","a",14
"did","he","die",4
"did","he","do",9
"did","he","leave",5
"did","he","say",9
"did","i","do",26
"did","i","have",14
"did","i","mention",39
"did","i","miss",37
"did","i","tell",10
"did","i","thought",3
"did","in","fact",8
"did","in","the",23
"did","it","again",10
"did","it","and",15
"did","it","for",17
"did","it","have",5
"did","it","i",13
"did","it","in",13
"did","it","is",5
"did","it","or",3
"did","it","so",6
"did","it","take",14
"did","it","to",7
"did","it","was",12
"did","it","with",9
"did","just","that",13
"did","last","week",7
"did","last","year",20
"did","like","the",6
"did","make","it",9
"did","make","the",6
"did","my","first",10
"did","not","accept",4
"did","not","accomplish",4
"did","not","act",6
"did","not","actually",14
"did","not","add",12
"did","not","address",9
"did","not","affect",6
"did","not","agree",11
"did","not","allow",7
"did","not","always",5
"did","not","and",18
"did","not","answer",13
"did","not","ask",20
"did","not","beat",3
"did","not","believe",33
"did","not","bother",14
"did","not","buy",16
"did","not","call",11
"did","not","care",32
"did","not","catch",13
"did","not","cause",5
"did","not","change",23
"did","not","check",3
"did","not","choose",13
"did","not","commit",5
"did","not","connect",5
"did","not","cost",6
"did","not","count",6
"did","not","cover",6
"did","not","create",10
"did","not","deserve",11
"did","not","disappoint",8
"did","not","do",113
"did","not","drink",7
"did","not","earn",3
"did","not","eat",15
"did","not","end",13
"did","not","enter",4
"did","not","even",156
"did","not","exactly",11
"did","not","exist",13
"did","not","expect",36
"did","not","feel",61
"did","not","find",27
"did","not","finish",14
"did","not","follow",19
"did","not","forget",7
"did","not","get",286
"did","not","give",45
"did","not","go",103
"did","not","happen",34
"did","not","have",503
"did","not","he",15
"did","not","hear",23
"did","not","help",29
"did","not","hit",12
"did","not","hold",6
"did","not","hurt",20
"did","not","i",43
"did","not","improve",5
"did","not","in",5
"did","not","include",17
"did","not","insist",4
"did","not","it",11
"did","not","just",29
"did","not","keep",8
"did","not","kill",6
"did","not","know",460
"did","not","land",3
"did","not","last",13
"did","not","leave",21
"did","not","let",21
"did","not","lie",4
"did","not","like",83
"did","not","list",4
"did","not","live",12
"did","not","look",34
"did","not","lose",13
"did","not","make",98
"did","not","match",13
"did","not","matter",11
"did","not","mean",33
"did","not","meet",11
"did","not","mention",15
"did","not","miss",15
"did","not","move",10
"did","not","need",55
"did","not","notice",20
"did","not","offer",12
"did","not","on",3
"did","not","out",8
"did","not","own",4
"did","not","pay",21
"did","not","pick",10
"did","not","plan",7
"did","not","play",39
"did","not","put",10
"did","not","reach",3
"did","not","read",7
"did","not","realize",74
"did","not","really",77
"did","not","recognize",7
"did","not","remember",7
"did","not","reply",5
"did","not","require",8
"did","not","respond",46
"did","not","run",14
"did","not","say",73
"did","not","see",132
"did","not","seem",40
"did","not","send",13
"did","not","show",33
"did","not","sign",8
"did","not","sit",8
"did","not","sleep",11
"did","not","speak",22
"did","not","specify",8
"did","not","spend",6
"did","not","stand",3
"did","not","start",18
"did","not","stay",8
"did","not","stop",32
"did","not","survive",3
"did","not","take",94
"did","not","talk",15
"did","not","tell",22
"did","not","the",10
"did","not","they",9
"did","not","think",136
"did","not","to",13
"did","not","try",9
"did","not","turn",21
"did","not","understand",25
"did","not","up",5
"did","not","use",25
"did","not","walk",5
"did","not","want",320
"did","not","wear",7
"did","not","win",44
"did","not","work",84
"did","not","write",17
"did","not","yell",4
"did","not","you",38
"did","nothing","but",3
"did","nothing","to",11
"did","one","of",4
"did","our","best",3
"did","pretty","good",4
"did","say","he",5
"did","such","a",5
"did","take","a",5
"did","that","and",5
"did","that","in",4
"did","the","best",5
"did","the","last",6
"did","the","rest",5
"did","the","same",31
"did","they","do",8
"did","they","get",11
"did","they","have",4
"did","they","just",5
"did","this","happen",8
"did","this","year",3
"did","to","her",3
"did","to","the",6
"did","vote","for",5
"did","want","to",7
"did","we","get",7
"did","we","have",7
"did","what","any",3
"did","what","i",8
"did","when","he",7
"did","when","i",11
"did","with","a",3
"did","you","and",4
"did","you","do",51
"did","you","ever",25
"did","you","get",152
"did","you","have",54
"did","you","hear",34
"did","you","just",24
"did","you","know",203
"did","you","like",26
"did","you","need",3
"did","you","not",12
"did","you","read",13
"did","you","see",77
"did","you","think",35
"did","you","want",8
"die","for","the",6
"die","if","you",5
"die","in","the",7
"died","a","few",4
"died","after","being",4
"died","at","age",9
"died","at","the",12
"died","before","the",3
"died","he","was",10
"died","in","a",18
"died","in","his",7
"died","in","the",32
"died","last","week",4
"died","of","a",15
"died","on","the",10
"died","the","next",3
"died","when","they",4
"diet","and","exercise",9
"difference","between","a",34
"difference","between","the",30
"difference","in","our",3
"difference","in","the",22
"difference","in","this",4
"difference","is","that",11
"difference","is","the",3
"different","and","i",4
"different","from","one",3
"different","from","the",35
"different","in","the",7
"different","kind","of",23
"different","kinds","of",17
"different","part","of",5
"different","shades","of",6
"different","than","a",4
"different","than","the",15
"different","this","year",4
"different","type","of",7
"different","types","of",28
"different","ways","to",9
"differently","about","the",3
"difficult","for","me",8
"difficult","to","be",5
"difficult","to","find",15
"difficult","to","follow",3
"difficult","to","get",8
"difficult","to","make",12
"difficult","to","tell",4
"dig","up","a",3
"diners","driveins","and",3
"dining","room","table",16
"dinner","and","a",7
"dinner","and","then",5
"dinner","at","a",6
"dinner","at","pm",5
"dinner","at","the",12
"dinner","for","two",4
"dinner","on","the",3
"dinner","that","is",3
"dinner","with","a",6
"dinner","with","an",4
"dinner","with","the",11
"dip","in","the",6
"dire","need","of",7
"direct","or","indirect",3
"direct","result","of",6
"directed","by","the",5
"direction","in","which",4
"direction","of","the",18
"directly","at","the",4
"directly","from","a",3
"directly","from","the",10
"directly","related","to",10
"directly","to","the",25
"directly","with","the",4
"director","for","the",31
"dirty","rotten","scoundrels",3
"disagree","with","his",3
"disagree","with","me",4
"disappeared","from","the",3
"disappointed","by","the",14
"disappointed","in","the",11
"disappointed","that","he",4
"disappointed","with","the",14
"disaster","in","the",5
"disclosure","of","the",5
"discount","if","you",3
"discount","on","a",4
"discounts","on","the",3
"discovered","in","the",5
"discovered","that","the",10
"discussed","at","the",3
"discussion","about","the",14
"discussion","of","the",10
"discussion","on","the",5
"discussion","with","the",5
"disguised","as","a",7
"dish","it","is",3
"dishes","on","the",7
"display","at","the",10
"dissatisfied","with","the",4
"dissolved","in","water",4
"distance","from","the",9
"distance","of","the",4
"distinction","of","being",4
"distracted","by","the",7
"districts","in","the",10
"diversity","in","the",8
"division","of","the",13
"do","a","bit",10
"do","a","bunch",4
"do","a","complete",4
"do","a","few",8
"do","a","good",15
"do","a","great",17
"do","a","job",6
"do","a","little",37
"do","a","lot",36
"do","a","thing",9
"do","a","whole",4
"do","about","it",26
"do","about","the",5
"do","after","all",3
"do","all","of",13
"do","all","that",12
"do","all","the",23
"do","an","entire",4
"do","and","he",5
"do","and","i",21
"do","and","it",3
"do","and","not",5
"do","and","the",5
"do","and","then",9
"do","and","they",6
"do","and","we",4
"do","and","what",10
"do","and","when",4
"do","and","you",7
"do","any","of",19
"do","anything","about",14
"do","anything","but",11
"do","anything","else",7
"do","anything","for",23
"do","anything","he",4
"do","anything","i",9
"do","anything","it",4
"do","anything","that",7
"do","anything","to",30
"do","anything","with",10
"do","as","a",9
"do","as","i",6
"do","at","least",4
"do","at","the",8
"do","at","this",3
"do","away","with",12
"do","believe","it",4
"do","believe","that",5
"do","believe","the",5
"do","best","when",3
"do","better","in",3
"do","better","next",6
"do","better","than",12
"do","better","with",5
"do","business","in",5
"do","business","with",8
"do","but","i",19
"do","but","it",9
"do","but","you",4
"do","decide","to",4
"do","do","not",20
"do","even","if",5
"do","everything","you",4
"do","for","a",16
"do","for","me",5
"do","for","the",17
"do","get","a",7
"do","have","a",51
"do","have","an",8
"do","have","is",5
"do","have","the",8
"do","have","to",20
"do","his","thing",3
"do","i","always",15
"do","i","am",36
"do","i","do",37
"do","i","feel",19
"do","i","find",9
"do","i","get",59
"do","i","have",71
"do","i","just",8
"do","i","know",33
"do","i","like",7
"do","i","need",44
"do","i","really",19
"do","i","say",3
"do","i","start",4
"do","i","take",4
"do","i","think",10
"do","i","will",17
"do","if","a",3
"do","if","i",14
"do","if","the",7
"do","if","they",10
"do","if","you",21
"do","in","a",10
"do","in","my",6
"do","in","order",7
"do","in","the",33
"do","in","this",5
"do","is","hope",3
"do","is","just",5
"do","is","look",5
"do","is","make",6
"do","is","tell",4
"do","is","to",17
"do","is","try",3
"do","it","again",59
"do","it","all",31
"do","it","and",25
"do","it","anyway",7
"do","it","as",6
"do","it","at",16
"do","it","because",13
"do","it","before",5
"do","it","better",6
"do","it","but",19
"do","it","by",7
"do","it","for",54
"do","it","from",5
"do","it","he",6
"do","it","i",41
"do","it","if",13
"do","it","in",34
"do","it","is",37
"do","it","it",20
"do","it","justice",6
"do","it","more",4
"do","it","myself",6
"do","it","not",4
"do","it","now",13
"do","it","on",21
"do","it","or",9
"do","it","right",27
"do","it","so",10
"do","it","the",12
"do","it","this",9
"do","it","to",13
"do","it","today",4
"do","it","tonight",4
"do","it","we",11
"do","it","well",4
"do","it","when",11
"do","it","will",6
"do","it","with",17
"do","it","you",13
"do","it","yourself",9
"do","just","fine",4
"do","know","is",5
"do","know","that",14
"do","look","at",4
"do","make","a",5
"do","me","a",19
"do","more","and",6
"do","more","for",5
"do","more","than",22
"do","more","to",15
"do","most","of",6
"do","much","for",5
"do","my","best",30
"do","my","homework",13
"do","my","job",5
"do","my","own",7
"do","need","to",13
"do","no","wrong",6
"do","not","act",14
"do","not","actually",20
"do","not","add",14
"do","not","agree",21
"do","not","all",10
"do","not","already",11
"do","not","always",40
"do","not","and",27
"do","not","answer",11
"do","not","appear",9
"do","not","apply",11
"do","not","approve",3
"do","not","ask",61
"do","not","assume",6
"do","not","back",11
"do","not","be",238
"do","not","become",7
"do","not","believe",121
"do","not","belong",11
"do","not","blame",32
"do","not","bother",25
"do","not","break",15
"do","not","bring",14
"do","not","burn",6
"do","not","buy",26
"do","not","call",34
"do","not","care",271
"do","not","carry",7
"do","not","change",22
"do","not","check",3
"do","not","choose",7
"do","not","claim",8
"do","not","close",6
"do","not","collect",6
"do","not","comment",7
"do","not","condone",4
"do","not","consider",13
"do","not","count",20
"do","not","create",9
"do","not","deserve",25
"do","not","die",9
"do","not","disturb",7
"do","not","do",154
"do","not","doubt",8
"do","not","drink",25
"do","not","drive",7
"do","not","eat",41
"do","not","encourage",3
"do","not","end",18
"do","not","enjoy",13
"do","not","enter",4
"do","not","even",276
"do","not","ever",51
"do","not","exactly",9
"do","not","exist",20
"do","not","expect",64
"do","not","fall",17
"do","not","feed",6
"do","not","feel",135
"do","not","find",27
"do","not","fit",23
"do","not","fix",6
"do","not","fly",7
"do","not","follow",53
"do","not","forget",398
"do","not","get",439
"do","not","give",125
"do","not","go",101
"do","not","grow",8
"do","not","hang",3
"do","not","happen",7
"do","not","hate",50
"do","not","have",1141
"do","not","hear",16
"do","not","help",11
"do","not","hire",5
"do","not","hit",9
"do","not","hold",14
"do","not","i",47
"do","not","in",7
"do","not","include",10
"do","not","intend",8
"do","not","it",13
"do","not","judge",44
"do","not","just",38
"do","not","keep",10
"do","not","kill",13
"do","not","know",1476
"do","not","last",4
"do","not","leave",32
"do","not","let",173
"do","not","like",412
"do","not","limit",6
"do","not","live",37
"do","not","look",66
"do","not","lose",30
"do","not","love",31
"do","not","make",153
"do","not","match",4
"do","not","matter",28
"do","not","mean",55
"do","not","mind",81
"do","not","miss",142
"do","not","mix",7
"do","not","necessarily",25
"do","not","need",256
"do","not","normally",10
"do","not","offer",8
"do","not","own",17
"do","not","pack",4
"do","not","pass",6
"do","not","pay",29
"do","not","plan",18
"do","not","play",41
"do","not","pretend",7
"do","not","produce",3
"do","not","pull",8
"do","not","put",29
"do","not","quit",5
"do","not","quite",10
"do","not","read",22
"do","not","realize",30
"do","not","really",141
"do","not","recall",17
"do","not","recognize",8
"do","not","recommend",4
"do","not","reflect",3
"do","not","regret",9
"do","not","rely",4
"do","not","remember",76
"do","not","remind",7
"do","not","require",10
"do","not","respect",4
"do","not","respond",4
"do","not","return",3
"do","not","run",15
"do","not","rush",9
"do","not","say",53
"do","not","see",185
"do","not","seek",7
"do","not","seem",41
"do","not","sell",15
"do","not","serve",3
"do","not","share",18
"do","not","shoot",4
"do","not","show",14
"do","not","sleep",18
"do","not","smoke",8
"do","not","spend",10
"do","not","stand",7
"do","not","start",14
"do","not","steal",5
"do","not","stop",57
"do","not","support",19
"do","not","take",75
"do","not","talk",56
"do","not","tell",85
"do","not","tend",12
"do","not","the",7
"do","not","they",27
"do","not","think",724
"do","not","throw",11
"do","not","to",5
"do","not","trust",32
"do","not","try",47
"do","not","underestimate",9
"do","not","understand",164
"do","not","use",63
"do","not","usually",18
"do","not","wait",27
"do","not","wake",11
"do","not","want",780
"do","not","waste",26
"do","not","watch",28
"do","not","we",28
"do","not","wear",29
"do","not","win",19
"do","not","wish",9
"do","not","with",11
"do","not","work",49
"do","not","worry",197
"do","not","write",12
"do","not","yet",3
"do","not","you",242
"do","nothing","but",12
"do","nothing","to",9
"do","now","is",7
"do","on","a",13
"do","on","the",16
"do","one","thing",6
"do","or","what",3
"do","other","than",8
"do","over","the",5
"do","remember","that",3
"do","right","now",15
"do","so","by",6
"do","so","he",3
"do","so","many",9
"do","so","much",13
"do","so","we",5
"do","so","with",4
"do","some","of",6
"do","some","serious",3
"do","some","things",6
"do","something","about",35
"do","something","and",8
"do","something","different",12
"do","something","do",4
"do","something","else",8
"do","something","for",9
"do","something","like",14
"do","something","nice",3
"do","something","stupid",7
"do","something","that",10
"do","something","to",15
"do","something","with",12
"do","that","a",4
"do","that","again",13
"do","that","and",21
"do","that","as",6
"do","that","at",8
"do","that","before",5
"do","that","but",8
"do","that","for",16
"do","that","he",11
"do","that","i",31
"do","that","in",9
"do","that","is",14
"do","that","then",7
"do","that","they",5
"do","that","this",3
"do","that","to",23
"do","that","we",10
"do","that","well",3
"do","that","when",7
"do","that","you",13
"do","the","best",25
"do","the","cooking",3
"do","the","job",15
"do","the","little",5
"do","the","right",32
"do","the","same",132
"do","the","thing",3
"do","the","trick",16
"do","the","work",21
"do","their","job",8
"do","there","are",4
"do","they","do",13
"do","they","go",3
"do","they","have",27
"do","they","know",12
"do","they","not",8
"do","they","think",6
"do","they","want",8
"do","they","will",4
"do","things","in",3
"do","things","that",6
"do","think","it",10
"do","think","that",8
"do","this","again",4
"do","this","all",8
"do","this","and",8
"do","this","at",3
"do","this","by",9
"do","this","for",18
"do","this","i",14
"do","this","in",7
"do","this","is",6
"do","this","myself",3
"do","this","the",6
"do","this","then",3
"do","this","to",12
"do","this","until",3
"do","this","we",5
"do","this","with",4
"do","this","year",8
"do","those","things",5
"do","to","a",4
"do","to","be",5
"do","to","get",24
"do","to","help",23
"do","to","keep",7
"do","to","make",18
"do","to","the",8
"do","today","but",3
"do","too","much",9
"do","want","to",14
"do","we","do",7
"do","we","get",25
"do","we","have",42
"do","we","know",16
"do","we","make",6
"do","we","need",23
"do","we","not",7
"do","we","really",16
"do","we","want",14
"do","we","will",5
"do","well","and",4
"do","what","are",4
"do","what","he",12
"do","what","i",52
"do","what","is",27
"do","what","it",9
"do","what","the",7
"do","what","they",20
"do","what","we",18
"do","what","you",66
"do","whatever","it",8
"do","whatever","they",9
"do","when","i",19
"do","when","the",11
"do","when","they",5
"do","when","we",4
"do","when","you",16
"do","when","your",7
"do","which","is",4
"do","with","a",14
"do","with","all",10
"do","with","an",4
"do","with","any",4
"do","with","anything",7
"do","with","each",6
"do","with","it",50
"do","with","me",8
"do","with","my",18
"do","with","that",18
"do","with","the",117
"do","with","their",10
"do","with","them",14
"do","with","this",19
"do","with","what",8
"do","with","your",8
"do","without","the",5
"do","wonders","for",5
"do","you","agree",9
"do","you","are",4
"do","you","call",17
"do","you","care",8
"do","you","carry",5
"do","you","consider",5
"do","you","do",107
"do","you","enjoy",5
"do","you","ever",34
"do","you","expect",15
"do","you","explain",5
"do","you","feel",48
"do","you","find",26
"do","you","get",62
"do","you","give",12
"do","you","go",22
"do","you","guys",42
"do","you","have",338
"do","you","hear",6
"do","you","just",9
"do","you","keep",17
"do","you","know",201
"do","you","let",4
"do","you","like",120
"do","you","live",24
"do","you","look",6
"do","you","love",29
"do","you","make",27
"do","you","mean",39
"do","you","most",4
"do","you","need",63
"do","you","not",19
"do","you","plan",14
"do","you","play",16
"do","you","prefer",21
"do","you","put",5
"do","you","really",33
"do","you","remember",36
"do","you","say",11
"do","you","see",33
"do","you","start",7
"do","you","suppose",8
"do","you","take",5
"do","you","think",406
"do","you","understand",7
"do","you","want",140
"do","you","will",9
"do","you","wish",6
"do","your","best",11
"do","your","research",5
"do","yourself","a",7
"dodged","a","bullet",4
"does","a","good",9
"does","a","great",9
"does","a","lot",9
"does","all","the",4
"does","have","a",27
"does","have","an",4
"does","he","have",11
"does","i","am",5
"does","it","all",9
"does","it","do",4
"does","it","feel",14
"does","it","get",7
"does","it","have",9
"does","it","make",15
"does","it","matter",10
"does","it","mean",18
"does","it","really",11
"does","it","take",28
"does","make","me",5
"does","need","to",3
"does","not","accept",4
"does","not","actually",9
"does","not","address",7
"does","not","affect",12
"does","not","agree",5
"does","not","allow",16
"does","not","always",40
"does","not","appear",22
"does","not","apply",19
"does","not","ask",3
"does","not","automatically",4
"does","not","become",5
"does","not","believe",20
"does","not","belong",10
"does","not","bother",10
"does","not","burn",5
"does","not","buy",5
"does","not","care",28
"does","not","carry",3
"does","not","change",21
"does","not","cost",7
"does","not","count",20
"does","not","cover",8
"does","not","cut",4
"does","not","define",8
"does","not","depend",4
"does","not","deserve",10
"does","not","diminish",4
"does","not","disappoint",9
"does","not","do",31
"does","not","either",4
"does","not","end",12
"does","not","enjoy",4
"does","not","even",49
"does","not","exactly",10
"does","not","excuse",5
"does","not","exist",35
"does","not","expect",16
"does","not","fall",3
"does","not","feel",41
"does","not","fit",17
"does","not","from",5
"does","not","function",3
"does","not","get",104
"does","not","give",20
"does","not","go",33
"does","not","happen",34
"does","not","have",308
"does","not","he",7
"does","not","help",33
"does","not","hold",8
"does","not","hurt",26
"does","not","in",5
"does","not","include",42
"does","not","inspire",4
"does","not","involve",8
"does","not","it",37
"does","not","just",13
"does","not","keep",7
"does","not","know",99
"does","not","last",4
"does","not","lead",5
"does","not","let",12
"does","not","like",76
"does","not","look",61
"does","not","lose",4
"does","not","love",25
"does","not","make",129
"does","not","match",12
"does","not","matter",125
"does","not","mean",206
"does","not","meet",7
"does","not","mind",14
"does","not","necessarily",24
"does","not","need",53
"does","not","offer",9
"does","not","own",8
"does","not","pass",5
"does","not","pay",9
"does","not","play",11
"does","not","prevent",5
"does","not","quite",15
"does","not","read",3
"does","not","really",51
"does","not","rely",3
"does","not","remember",10
"does","not","require",21
"does","not","return",4
"does","not","rock",3
"does","not","run",5
"does","not","say",17
"does","not","see",22
"does","not","seem",81
"does","not","sell",6
"does","not","serve",7
"does","not","share",4
"does","not","she",11
"does","not","show",15
"does","not","sit",4
"does","not","sound",21
"does","not","speak",7
"does","not","stand",5
"does","not","start",11
"does","not","stop",17
"does","not","support",9
"does","not","take",42
"does","not","tell",11
"does","not","that",15
"does","not","think",35
"does","not","to",6
"does","not","translate",6
"does","not","turn",3
"does","not","understand",25
"does","not","up",4
"does","not","use",8
"does","not","usually",5
"does","not","want",96
"does","not","work",94
"does","nothing","to",4
"does","on","the",5
"does","she","have",11
"does","that","have",4
"does","that","make",11
"does","that","mean",55
"does","that","sound",7
"does","the","same",3
"does","this","make",4
"does","this","mean",33
"does","to","a",4
"does","to","the",4
"does","what","it",3
"dog","days","of",3
"dog","for","a",7
"dog","in","a",3
"dog","on","the",4
"dog","or","cat",5
"dog","to","work",3
"dogs","and","cats",9
"dogs","do","not",6
"doing","a","good",17
"doing","a","great",21
"doing","a","little",14
"doing","a","lot",20
"doing","a","pretty",4
"doing","all","that",5
"doing","all","the",12
"doing","all","this",4
"doing","and","i",7
"doing","and","what",3
"doing","anything","to",6
"doing","anything","wrong",5
"doing","better","than",6
"doing","business","in",3
"doing","for","the",9
"doing","i","am",8
"doing","in","a",4
"doing","in","the",8
"doing","it","again",7
"doing","it","all",6
"doing","it","as",5
"doing","it","because",3
"doing","it","for",17
"doing","it","in",5
"doing","it","is",4
"doing","it","right",10
"doing","it","so",4
"doing","it","the",8
"doing","it","to",7
"doing","it","we",3
"doing","my","best",9
"doing","my","job",4
"doing","one","thing",3
"doing","our","best",5
"doing","pretty","well",5
"doing","really","well",5
"doing","school","work",4
"doing","so","good",4
"doing","so","he",6
"doing","so","i",7
"doing","so","well",8
"doing","so","would",6
"doing","something","else",6
"doing","something","right",12
"doing","something","wrong",13
"doing","that","with",5
"doing","the","best",7
"doing","the","same",36
"doing","the","things",7
"doing","their","job",7
"doing","things","that",5
"doing","this","for",16
"doing","this","i",6
"doing","this","to",8
"doing","very","well",10
"doing","well","and",9
"doing","well","at",6
"doing","well","in",9
"doing","what","he",6
"doing","what","i",24
"doing","what","is",11
"doing","what","they",10
"doing","what","we",12
"doing","with","the",3
"dollars","for","a",5
"dollars","on","a",3
"dome","on","the",3
"dominated","the","first",4
"donate","it","to",3
"donate","to","the",6
"donated","by","the",3
"donated","to","charity",4
"donated","to","the",11
"donation","to","the",8
"donations","for","the",3
"done","a","lot",15
"done","all","of",6
"done","and","i",16
"done","and","over",3
"done","and","that",3
"done","and","the",8
"done","at","the",14
"done","before","the",6
"done","by","a",3
"done","by","the",10
"done","everything","i",4
"done","for","me",7
"done","for","the",21
"done","for","them",5
"done","i","am",11
"done","i","have",9
"done","in","a",11
"done","in","my",6
"done","in","one",4
"done","in","the",33
"done","it","all",5
"done","it","before",12
"done","it","for",3
"done","it","is",16
"done","it","was",5
"done","it","without",8
"done","it","yet",6
"done","more","for",6
"done","more","than",4
"done","nothing","but",3
"done","nothing","to",5
"done","nothing","wrong",6
"done","on","a",5
"done","on","the",11
"done","over","the",4
"done","so","far",7
"done","so","much",6
"done","the","same",13
"done","to","the",11
"done","to","us",3
"done","very","well",3
"done","we","are",4
"done","when","they",3
"done","when","you",5
"done","with","her",5
"done","with","his",5
"done","with","the",37
"done","without","the",4
"doom","and","gloom",4
"door","at","the",4
"door","do","not",3
"door","for","the",4
"door","if","you",4
"door","in","the",5
"door","is","open",3
"door","it","is",3
"door","of","the",14
"door","open","for",6
"door","that","is",6
"door","to","door",9
"door","to","the",20
"door","to","their",3
"door","with","a",7
"doors","in","the",4
"doors","open","at",34
"double","date","with",3
"double","the","number",7
"doubles","as","a",4
"doubt","about","it",9
"doubt","in","my",8
"doubt","that","it",6
"doubt","we","will",7
"doubt","you","will",5
"down","a","bit",20
"down","a","few",9
"down","a","flight",4
"down","a","hill",4
"down","a","little",10
"down","a","lot",5
"down","and","eat",3
"down","and","get",9
"down","and","go",5
"down","and","he",4
"down","and","it",5
"down","and","out",8
"down","and","talk",5
"down","and","the",14
"down","and","then",8
"down","and","they",5
"down","and","was",3
"down","and","you",5
"down","at","his",4
"down","at","the",41
"down","but","it",10
"down","but","the",8
"down","by","a",8
"down","by","the",23
"down","for","a",35
"down","for","an",4
"down","for","the",31
"down","from","the",23
"down","i","am",12
"down","i","have",8
"down","i","was",5
"down","i","will",10
"down","in","a",24
"down","in","front",4
"down","in","the",65
"down","into","the",13
"down","it","is",10
"down","it","was",6
"down","more","than",9
"down","on","a",17
"down","on","my",13
"down","on","the",71
"down","on","their",5
"down","on","your",6
"down","one","of",5
"down","peoples","throats",3
"down","so","i",8
"down","so","when",3
"down","that","road",7
"down","the","aisle",12
"down","the","beach",5
"down","the","city",3
"down","the","entire",3
"down","the","hall",28
"down","the","hallway",7
"down","the","hill",9
"down","the","law",3
"down","the","left",9
"down","the","line",22
"down","the","middle",15
"down","the","road",67
"down","the","stairs",18
"down","the","steps",3
"down","the","street",67
"down","there","and",10
"down","there","are",4
"down","there","in",8
"down","there","it",3
"down","this","road",5
"down","through","the",10
"down","to","a",38
"down","to","earth",15
"down","to","find",3
"down","to","his",8
"down","to","it",7
"down","to","one",4
"down","to","see",7
"down","to","size",4
"down","to","the",141
"down","to","this",6
"down","to","two",9
"down","to","watch",5
"down","to","you",3
"down","we","are",6
"down","we","have",3
"down","we","know",3
"down","when","i",6
"down","with","a",29
"down","with","her",3
"down","with","that",6
"down","with","the",18
"down","you","are",3
"downhill","from","there",5
"downtown","los","angeles",9
"dozen","or","so",13
"dr","martin","luther",9
"draft","of","the",6
"draft","that","is",3
"draft","with","the",3
"drafted","in","the",6
"drafts","of","the",3
"drag","on","the",8
"dramatic","moments","of",3
"draw","attention","to",8
"draw","the","line",13
"drawing","attention","to",6
"drawing","of","a",8
"drawn","in","the",3
"drawn","out","process",3
"dream","is","a",4
"dream","of","a",9
"dream","of","becoming",3
"dream","of","being",4
"dream","of","the",8
"dream","to","be",6
"dress","that","is",3
"dressed","as","a",8
"dressed","in","a",13
"dressed","up","and",4
"dressed","up","as",10
"dressed","up","for",5
"dressed","up","in",9
"dressing","up","as",6
"drink","a","lot",10
"drink","at","the",4
"drink","in","the",7
"drink","my","coffee",3
"drink","of","choice",6
"drink","or","two",6
"drinking","a","beer",9
"drinking","coffee","and",6
"drinking","in","the",7
"drinks","and","food",9
"drinks","at","the",4
"drive","a","car",5
"drive","back","to",8
"drive","for","the",4
"drive","in","the",7
"drive","it","is",3
"drive","me","crazy",8
"drive","on","the",7
"drive","out","to",5
"drive","through","a",3
"drive","to","the",20
"drive","to","work",6
"drive","up","to",6
"driveins","and","dives",3
"driver","to","get",3
"driver","who","was",3
"drivers","do","not",3
"drivers","license","or",4
"drivers","on","the",6
"drives","me","nuts",10
"driving","down","the",9
"driving","for","a",3
"driving","force","in",4
"driving","home","from",6
"driving","in","a",4
"driving","me","nuts",9
"driving","on","a",6
"driving","on","the",8
"driving","to","the",10
"driving","to","work",7
"drop","by","for",4
"drop","dead","diva",5
"drop","in","the",21
"drop","of","a",9
"drop","out","of",15
"drop","them","off",9
"dropped","from","the",4
"dropped","off","at",10
"dropped","out","of",21
"dropped","them","off",3
"dropping","out","of",7
"drove","all","the",6
"drove","down","the",3
"drove","down","to",3
"drove","to","the",7
"duct","tape","and",3
"due","for","a",10
"due","in","the",3
"due","to","a",53
"due","to","being",5
"due","to","her",7
"due","to","its",7
"due","to","lack",4
"due","to","my",16
"due","to","our",4
"due","to","technical",3
"due","to","the",153
"due","to","their",7
"due","to","this",4
"dumb","enough","to",8
"dunkin","donuts","in",5
"during","and","after",8
"during","happy","hour",11
"during","high","school",6
"during","one","of",8
"during","rush","hour",3
"during","spring","training",3
"during","that","time",23
"during","the","ceremony",6
"during","the","cold",9
"during","the","day",75
"during","the","debate",4
"during","the","event",5
"during","the","first",42
"during","the","game",13
"during","the","great",10
"during","the","holiday",8
"during","the","holidays",6
"during","the","last",30
"during","the","middle",5
"during","the","month",13
"during","the","next",17
"during","the","night",10
"during","the","past",25
"during","the","process",5
"during","the","s",32
"during","the","season",20
"during","the","second",15
"during","the","session",4
"during","the","show",7
"during","the","spring",6
"during","the","summer",27
"during","the","super",5
"during","the","war",10
"during","the","week",45
"during","the","winter",20
"during","this","difficult",7
"during","this","time",16
"during","those","years",4
"during","world","war",22
"dust","has","settled",4
"duties","at","the",4
"duty","as","a",4
"dwight","d","eisenhower",8
"dying","in","the",3
"dying","on","the",4
"each","and","every",52
"each","day","as",6
"each","day","i",7
"each","day","to",7
"each","of","its",10
"each","of","the",117
"each","of","their",12
"each","of","them",17
"each","of","these",21
"each","of","those",15
"each","of","us",26
"each","of","you",16
